DATA;VALUTA;BRANCHE;TID;INDHOLD
ULT;DKK;NZZ;2013M12;12857.9
ULT;DKK;NZZ;2014M01;13144.4
ULT;DKK;NZZ;2014M02;13287.7
ULT;DKK;NZZ;2014M03;13122.6
ULT;DKK;NZZ;2014M04;13103.5
ULT;DKK;NZZ;2014M05;13103.8
ULT;DKK;NZZ;2014M06;13241.2
ULT;DKK;NZZ;2014M07;12910.8
ULT;DKK;NZZ;2014M08;12985.9
ULT;DKK;NZZ;2014M09;13307.0
ULT;DKK;NZZ;2014M10;12983.2
ULT;DKK;NZZ;2014M11;13097.3
ULT;DKK;NZZ;2014M12;12915.5
ULT;DKK;NZZ;2015M01;13173.2
ULT;DKK;NZZ;2015M02;10797.9
ULT;DKK;NZZ;2015M03;10986.0
ULT;DKK;NZZ;2015M04;11617.9
ULT;DKK;NZZ;2015M05;14173.3
ULT;DKK;NZZ;2015M06;13898.0
ULT;DKK;NZZ;2015M07;13546.2
ULT;DKK;NZZ;2015M08;13209.6
ULT;DKK;NZZ;2015M09;13403.6
ULT;DKK;NZZ;2015M10;13337.1
ULT;DKK;NZZ;2015M11;13269.2
ULT;DKK;NZZ;2015M12;13472.4
ULT;DKK;NZZ;2016M01;11504.5
ULT;DKK;NZZ;2016M02;11823.2
ULT;DKK;NZZ;2016M03;12243.5
ULT;DKK;NZZ;2016M04;12183.3
ULT;DKK;NZZ;2016M05;12216.9
ULT;DKK;NZZ;2016M06;13281.8
ULT;DKK;NZZ;2016M07;12977.6
ULT;DKK;NZZ;2016M08;13101.1
ULT;DKK;NZZ;2016M09;14046.8
ULT;DKK;NZZ;2016M10;14233.2
ULT;DKK;NZZ;2016M11;14176.8
ULT;DKK;NZZ;2016M12;13714.3
ULT;DKK;NZZ;2017M01;13618.1
ULT;DKK;OZZ;2013M09;..
ULT;DKK;OZZ;2013M10;33289.3
ULT;DKK;OZZ;2013M11;33367.9
ULT;DKK;OZZ;2013M12;34871.4
ULT;DKK;OZZ;2014M01;36231.3
ULT;DKK;OZZ;2014M02;30592.5
ULT;DKK;OZZ;2014M03;30686.5
ULT;DKK;OZZ;2014M04;29542.3
ULT;DKK;OZZ;2014M05;29560.4
ULT;DKK;OZZ;2014M06;35485.6
ULT;DKK;OZZ;2014M07;34046.0
ULT;DKK;OZZ;2014M08;27512.3
ULT;DKK;OZZ;2014M09;28768.0
ULT;DKK;OZZ;2014M10;29340.1
ULT;DKK;OZZ;2014M11;32129.7
ULT;DKK;OZZ;2014M12;35372.6
ULT;DKK;OZZ;2015M01;36407.3
ULT;DKK;OZZ;2015M02;30742.8
ULT;DKK;OZZ;2015M03;31305.9
ULT;DKK;OZZ;2015M04;30981.0
ULT;DKK;OZZ;2015M05;31253.7
ULT;DKK;OZZ;2015M06;35473.7
ULT;DKK;OZZ;2015M07;36546.7
ULT;DKK;OZZ;2015M08;30746.7
ULT;DKK;OZZ;2015M09;32099.1
ULT;DKK;OZZ;2015M10;31764.9
ULT;DKK;OZZ;2015M11;33455.6
ULT;DKK;OZZ;2015M12;37533.2
ULT;DKK;OZZ;2016M01;34518.1
ULT;DKK;OZZ;2016M02;30227.3
